tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0080455,movie,The Blues Brothers,The Blues Brothers,0,1980,\N,133,"Adventure,Comedy,Crime",7.9,170522.0
tt1617661,movie,Jupiter Ascending,Jupiter Ascending,0,2015,\N,127,"Action,Adventure,Sci-Fi",5.3,169575.0
tt1059786,movie,Eagle Eye,Eagle Eye,0,2008,\N,118,"Action,Mystery,Thriller",6.6,168795.0
tt0100157,movie,Misery,Misery,0,1990,\N,107,"Drama,Thriller",7.8,168474.0
tt0838221,movie,The Darjeeling Limited,The Darjeeling Limited,0,2007,\N,91,"Adventure,Comedy,Drama",7.2,168092.0
tt0814255,movie,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,0,2010,\N,118,"Adventure,Family,Fantasy",5.9,167585.0
tt0829150,movie,Dracula Untold,Dracula Untold,0,2014,\N,92,"Action,Drama,Fantasy",6.3,167424.0
tt1583421,movie,G.I. Joe: Retaliation,G.I. Joe: Retaliation,0,2013,\N,110,"Action,Adventure,Sci-Fi",5.8,167210.0
tt1872194,movie,The Judge,The Judge,0,2014,\N,141,"Crime,Drama",7.4,165965.0
tt0087538,movie,The Karate Kid,The Karate Kid,0,1984,\N,126,"Action,Drama,Family",7.2,161551.0
tt0450278,movie,Hostel,Hostel,0,2005,\N,94,Horror,5.9,161328.0
tt0183790,movie,A Knight's Tale,A Knight's Tale,0,2001,\N,132,"Action,Adventure,Romance",6.9,160099.0
tt0311429,movie,The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen,0,2003,\N,110,"Action,Adventure,Fantasy",5.8,159415.0
tt1033643,movie,What Happens in Vegas,What Happens in Vegas,0,2008,\N,99,"Comedy,Romance",6.1,158940.0
tt0120746,movie,The Mask of Zorro,The Mask of Zorro,0,1998,\N,136,"Action,Adventure,Comedy",6.7,158917.0
tt0109506,movie,The Crow,The Crow,0,1994,\N,102,"Action,Drama,Fantasy",7.6,157633.0
tt1488555,movie,The Change-Up,The Change-Up,0,2011,\N,112,"Comedy,Fantasy",6.3,157541.0
tt0970416,movie,The Day the Earth Stood Still,The Day the Earth Stood Still,0,2008,\N,104,"Drama,Sci-Fi,Thriller",5.5,157515.0
tt0307453,movie,Shark Tale,Shark Tale,0,2004,\N,90,"Adventure,Animation,Comedy",6.0,157282.0
tt0415306,movie,Talladega Nights: The Ballad of Ricky Bobby,Talladega Nights: The Ballad of Ricky Bobby,0,2006,\N,108,"Comedy,Sport",6.6,156919.0
tt0074285,movie,Carrie,Carrie,0,1976,\N,98,Horror,7.4,155737.0
